epoch,mean_gini,ema_gini,balance_loss_coeff,layers,routing_observations,layer_gini
91,0.1499516051262617,0.1499859784210888,0.904824730875648,4,512.0,"{""model.12"": 0.075530506670475, ""model.3"": 0.3721558153629303, ""model.6"": 0.0857023224234581, ""model.9"": 0.06641777604818344}"
92,0.14993448182940483,0.149975679102752,0.9048154118456956,4,512.0,"{""model.12"": 0.07552792876958847, ""model.3"": 0.37209445238113403, ""model.6"": 0.08569943904876709, ""model.9"": 0.06641610711812973}"
93,0.14993008971214294,0.1499665612246302,0.9048071618866588,4,512.0,"{""model.12"": 0.07552438974380493, ""model.3"": 0.37208497524261475, ""model.6"": 0.08569727092981339, ""model.9"": 0.06641372293233871}"
94,0.1500195413827896,0.1499771572562621,0.9048167493027611,4,512.0,"{""model.12"": 0.07552184909582138, ""model.3"": 0.37245306372642517, ""model.6"": 0.08569128066301346, ""model.9"": 0.06641197204589844}"
95,0.14992442540824413,0.1499666108866585,0.9048072068212187,4,512.0,"{""model.12"": 0.07551846653223038, ""model.3"": 0.37208083271980286, ""model.6"": 0.08568825572729111, ""model.9"": 0.06641014665365219}"
96,0.14992837980389595,0.149958964670106,0.9048002884958267,4,512.0,"{""model.12"": 0.07551471143960953, ""model.3"": 0.37211060523986816, ""model.6"": 0.08567994832992554, ""model.9"": 0.06640825420618057}"
97,0.14992938190698624,0.14995304811748206,0.9047949352131421,4,512.0,"{""model.12"": 0.07551100105047226, ""model.3"": 0.3721247613430023, ""model.6"": 0.08567541837692261, ""model.9"": 0.06640634685754776}"
98,0.14988885633647442,0.14994020976128053,0.9047833192080399,4,512.0,"{""model.12"": 0.0755089744925499, ""model.3"": 0.3719746172428131, ""model.6"": 0.08566701412200928, ""model.9"": 0.06640481948852539}"
99,0.15001974441111088,0.1499561166912466,0.9047977116474025,4,512.0,"{""model.12"": 0.07550457864999771, ""model.3"": 0.3725016117095947, ""model.6"": 0.08566945791244507, ""model.9"": 0.066403329372406}"
100,0.14996136538684368,0.149957166430366,0.9047986614494541,4,512.0,"{""model.12"": 0.07550311088562012, ""model.3"": 0.37227192521095276, ""model.6"": 0.08566820621490479, ""model.9"": 0.06640221923589706}"
